geoid,name,population,income,male,female,white,black,native,asian,hawaiian,other,mixed
1001,"Autauga County, Alabama",42512,29540.11498,0.479088257,0.520911743,0.789165412,0.181619307,0.004445804,0.008844562,0.000376364,0.006186489,0.009362062
1003,"Baldwin County, Alabama",152829,28116.15486,0.483265611,0.516734389,0.876319285,0.090342801,0.005725353,0.006981659,0,0.008905378,0.011725523
1005,"Barbour County, Alabama",21850,22118.00522,0.539816934,0.460183066,0.497345538,0.452814645,0.002196796,0.007414188,0,0.02604119,0.014187643
1007,"Bibb County, Alabama",18487,25625.44945,0.543192514,0.456807486,0.755233407,0.221615189,0.00865473,0.001027749,0,0.000324552,0.013144372
1009,"Blount County, Alabama",45634,30637.71122,0.491168865,0.508831135,0.957181049,0.014966911,0.005478371,0.001051847,0,0.009795328,0.011526493
1011,"Bullock County, Alabama",8633,24205.02919,0.539673346,0.460326654,0.292714004,0.680064867,0.008108421,0.000695008,0.00556006,0,0.012857639
1013,"Butler County, Alabama",16266,24486.09123,0.451186524,0.548813476,0.568670847,0.413623509,0.001536948,0.007254396,0,0.002151728,0.006762572
1015,"Calhoun County, Alabama",93690,24894.17442,0.473369623,0.526630377,0.76902551,0.200597716,0.002209414,0.007695592,0.000181449,0.007962429,0.01232789
1017,"Chambers County, Alabama",27605,27429.34429,0.469262815,0.530737185,0.597065749,0.388081869,0.002209745,0.006085854,0.000289803,0.000905633,0.005361348
1019,"Cherokee County, Alabama",21309,26417.20728,0.491482472,0.508517528,0.932375991,0.0462246,0.004411282,0.004223568,0.000140786,0.001689427,0.010934347
1021,"Chilton County, Alabama",34195,30309.83234,0.489925428,0.510074572,0.85766925,0.095832724,0.005205439,0.00260272,0,0.032899547,0.00579032
1023,"Choctaw County, Alabama",11015,26606.63404,0.467907399,0.532092601,0.563322742,0.430503858,0,0.000726282,0,0,0.005447118
1025,"Clarke County, Alabama",20188,28946.10675,0.467010105,0.532989895,0.553398058,0.437438082,0,0.002030909,0.002129978,0.001733703,0.003269269
1027,"Clay County, Alabama",10997,23900.97799,0.483950168,0.516049832,0.831863235,0.13858325,0.005001364,0,0,0.01191234,0.012639811
1029,"Cleburne County, Alabama",11779,26985.82061,0.485270396,0.514729604,0.951439002,0.031157144,0.004499533,0.003141183,0,0.004924017,0.00483912
1031,"Coffee County, Alabama",40049,28722.15808,0.489824964,0.510175036,0.782341632,0.165672052,0.008988988,0.0148568,0,0.005593148,0.022547379
1033,"Colbert County, Alabama",44184,27432.66621,0.475149375,0.524850625,0.810745971,0.157364657,0.006065544,0.004209669,0.00086004,0.009483071,0.011271048
1035,"Conecuh County, Alabama",10349,22617.2521,0.472799304,0.527200696,0.55174413,0.426997778,0.006860566,0.000966277,0,0,0.013431249
1037,"Coosa County, Alabama",9383,23238.39231,0.509858254,0.490141746,0.68187147,0.31216029,0.00074603,0,0,0,0.00522221
1039,"Covington County, Alabama",30618,24575.09707,0.476811026,0.523188974,0.857796068,0.12032138,0.005878895,0.003429355,0.000653211,0.002874126,0.009046966
1041,"Crenshaw County, Alabama",11077,26386.34531,0.478920285,0.521079715,0.727543559,0.236074749,0.008124944,0.013541573,0,0.010923535,0.00379164
1043,"Cullman County, Alabama",64539,26715.64425,0.489424999,0.510575001,0.959652303,0.013108353,0.004431429,0.004245495,0.000294396,0.008258572,0.010009452
1045,"Dale County, Alabama",39410,27876.6714,0.488454707,0.511545293,0.766201472,0.18853083,0.003907638,0.012864755,0,0.007333164,0.021162142
1047,"Dallas County, Alabama",32716,22244.87761,0.445042181,0.554957819,0.318712557,0.665576476,0.000641888,0.001192077,0.000611322,0.002017362,0.011248319
1049,"DeKalb County, Alabama",55312,24737.19947,0.489224761,0.510775239,0.90526468,0.017319931,0.012022708,0.003615852,5.42378E-05,0.039955163,0.021767428
1051,"Elmore County, Alabama",63990,30901.8712,0.481840913,0.518159087,0.763197375,0.205078919,0.005469605,0.006766682,0,0.008360681,0.011126739
1053,"Escambia County, Alabama",30510,25317.88817,0.519764012,0.480235988,0.634119961,0.316256965,0.03149787,0.001704359,0,0.006391347,0.010029499
1055,"Etowah County, Alabama",83490,25270.37152,0.475613846,0.524386154,0.825284465,0.146292969,0.004156186,0.007402084,0.000730626,0.00485088,0.011282788
1057,"Fayette County, Alabama",13755,24042.91356,0.482878953,0.517121047,0.867757179,0.122719011,0,0.001962923,0,0,0.007560887
1059,"Franklin County, Alabama",24650,25166.28848,0.485638945,0.514361055,0.904340771,0.047586207,0.008356998,0.000608519,0.001135903,0.03306288,0.004908722
1061,"Geneva County, Alabama",21527,24975.36201,0.483532308,0.516467692,0.875690993,0.094950527,0.002601384,0.003855623,0,0.007711246,0.015190226
1063,"Greene County, Alabama",6981,21534.63214,0.464546627,0.535453373,0.191806331,0.794155565,0.004870362,0.00143246,0,0,0.007735281
1065,"Hale County, Alabama",12109,24901.77752,0.468329342,0.531670658,0.418283921,0.565612354,0.001073582,0.002394913,0.001156165,0.006524073,0.004954992
1067,"Henry County, Alabama",13907,29071.95398,0.47278349,0.52721651,0.706334939,0.271302222,0,0.008556842,0,0.008628748,0.005177249
1069,"Houston County, Alabama",81209,27369.83869,0.469418414,0.530581586,0.72043739,0.24725092,0.003891194,0.008188748,2.46278E-05,0.008730559,0.01147656
1071,"Jackson County, Alabama",42773,24760.14879,0.48656863,0.51343137,0.921445772,0.032099689,0.017955252,0.004488813,0.001145582,0.006686461,0.01617843
1073,"Jefferson County, Alabama",522746,31170.77376,0.463481308,0.536518692,0.550391586,0.408446932,0.002460086,0.015041722,0.000198949,0.01560605,0.007854675
1075,"Lamar County, Alabama",11567,26074.73009,0.474798997,0.525201003,0.879830552,0.114982277,0.003198755,0.000172906,0,0.000432264,0.001383245
