months reported,state,county ID,agency,population,violent,property,murder,rape,robbery,assault,burglary,larceny theft,motor vehicle theft,arson
12,AL,00401,PRATTVILLE,3369,76,125,0,1,31,35,215,96,84,4
12,AL,02906,MILLBROOK,143,0,6,0,0,0,0,1,5,0,0
12,AL,00400,AUTAUGA,2827,68,414,2,8,6,52,17,199,45,1
12,AL,00502,FAIRHOPE,17914,54,564,0,3,7,44,111,443,1,1
12,AL,00503,FOLEY,1611,51,783,1,1,13,36,98,664,21,5
12,AL,00508,DAPHNE,24111,41,477,0,7,5,29,64,41,12,0
12,AL,00501,BAY MINETTE,987,47,321,0,3,11,33,58,255,8,2
12,AL,00504,GULF SHORES,1927,41,665,1,7,6,27,127,515,23,2
12,AL,00505,ROBERTSDALE,5765,15,264,0,2,1,12,44,211,9,0
01,AL,00506,LOXLEY,172,0,5,0,0,0,0,0,4,1,0
11,AL,00507,SILVERHILL,749,6,11,0,3,0,3,2,8,1,0
12,AL,00509,SUMMERDALE,965,8,56,1,2,0,5,9,39,8,0
12,AL,00510,ELBERTA,1621,4,8,1,0,0,3,4,4,0,1
06,AL,00511,FAULKNER STATE COMM,0,0,3,0,0,0,0,0,3,0,0
03,AL,00513,SPANISH FORT,7811,0,43,0,0,0,0,2,41,0,0
12,AL,00500,BALDWIN,96312,98,662,0,4,18,76,23,45,27,7
12,AL,00601,EUFAULA,12874,73,478,1,5,12,55,84,367,27,0
10,AL,00602,CLAYTON,2944,4,28,0,2,0,2,12,14,2,0
01,AL,00604,LOUISVILLE,52,0,0,0,0,0,0,0,0,0,0
12,AL,00600,BARBOUR,8834,17,128,2,2,2,11,68,55,5,1
11,AL,00701,CENTREVILLE,274,2,19,1,0,0,1,6,11,2,0
12,AL,00702,BRENT,4878,13,81,0,2,1,1,7,66,8,1
12,AL,00704,WOODSTOCK,1372,4,42,1,0,1,2,9,3,3,0
12,AL,06307,VANCE,48,0,1,0,0,0,0,0,1,0,0
12,AL,00700,BIBB,12173,4,82,0,1,0,3,42,34,6,0
12,AL,00801,ONEONTA,671,22,28,0,7,3,12,24,169,15,1
12,AL,00802,BLOUNTSVILLE,1712,1,69,0,2,0,8,24,36,9,0
06,AL,00803,CLEVELAND,1324,0,9,0,0,0,0,0,6,3,0
12,AL,00804,SNEAD,847,3,38,0,0,0,3,9,23,6,0
06,AL,00805,HIGHLAND LAKE,423,0,7,0,0,0,0,3,4,0,0
12,AL,00800,BLOUNT,473,9,923,0,6,1,83,311,524,88,6
11,AL,00901,UNION SPRINGS,391,16,75,0,0,3,13,33,39,3,0
12,AL,00900,BULLOCK,6676,15,84,0,0,3,12,65,15,4,23
12,AL,01001,GREENVILLE,7863,48,336,3,2,3,4,32,295,9,0
12,AL,01002,GEORGIANA,1664,22,82,0,2,2,18,28,47,7,1
03,AL,01003,MCKENZIE,52,0,0,0,0,0,0,0,0,0,0
12,AL,01000,BUTLER,182,44,214,1,7,4,32,93,113,8,3
12,AL,01101,ANNISTON,22567,536,1711,4,42,77,413,65,969,92,17
12,AL,01102,JACKSONVILLE,12462,67,46,1,6,17,43,143,34,13,2
12,AL,01105,OXFORD,1759,59,837,2,2,8,47,18,76,23,2
12,AL,01103,PIEDMONT,475,2,27,0,5,0,15,63,129,15,2
12,AL,01104,WEAVER,3118,21,123,0,8,1,12,35,79,9,2
12,AL,01107,OHATCHEE,1146,0,23,0,0,0,0,12,11,0,0
12,AL,01108,JACKSONVILLE STATE,0,1,61,0,0,0,1,11,49,1,1
12,AL,03104,GLENCOE,38,0,1,0,0,0,0,0,1,0,0
12,AL,03107,SOUTHSIDE,154,0,2,0,0,0,0,1,1,0,0
12,AL,01100,CALHOUN,5587,15,471,0,3,1,11,2,266,5,5
12,AL,01201,LAFAYETTE,2999,22,82,0,0,1,21,15,65,2,1
12,AL,01202,LANETT,6484,71,491,1,11,6,53,114,337,4,3
12,AL,01204,VALLEY,958,73,555,0,13,13,47,119,4,36,5
12,AL,01200,CHAMBERS,1524,4,96,0,0,2,2,52,43,1,0
12,AL,01301,CENTRE,3662,1,191,0,3,1,6,51,132,8,1
12,AL,01302,CEDAR BLUFF,1835,12,135,0,0,0,12,3,97,8,3
12,AL,01303,LEESBURG,127,6,51,1,0,0,5,12,35,4,0
12,AL,02802,COLLINSVILLE,21,0,0,0,0,0,0,0,0,0,0
12,AL,01300,CHEROKEE,19733,49,388,2,8,2,37,131,216,41,12
12,AL,01401,CLANTON,8773,45,658,1,5,5,34,69,572,17,4
12,AL,01402,MAPLESVILLE,75,9,3,0,1,1,7,8,18,4,0
04,AL,01403,JEMISON,2648,3,33,0,0,0,3,4,27,2,0
09,AL,01404,THORSBY,229,2,6,0,1,0,1,1,4,1,0
12,AL,01400,CHILTON,29779,79,532,0,18,2,59,223,26,49,7
12,AL,01501,BUTLER,1829,11,35,0,2,1,8,16,16,3,0
11,AL,01500,CHOCTAW,186,6,44,0,0,2,4,17,23,4,0
03,AL,01601,JACKSON,574,7,5,0,2,2,3,11,38,1,1
09,AL,01602,THOMASVILLE,414,17,77,0,0,2,15,9,63,5,0
06,AL,01603,GROVE HILL,1518,0,1,0,0,0,0,0,1,0,0
12,AL,01600,CLARKE,1443,72,113,0,6,4,62,48,49,16,2
12,AL,01701,ASHLAND,1967,11,52,0,0,0,11,9,42,1,0
12,AL,01702,LINEVILLE,234,14,23,0,2,1,11,8,1,5,0
12,AL,01700,CLAY,9125,17,31,0,1,0,16,1,17,4,2
10,AL,01801,HEFLIN,3514,1,54,0,5,0,5,2,31,3,0
08,AL,01802,RANBURNE,45,1,9,0,0,0,1,4,4,1,0
11,AL,01800,CLEBURNE,119,2,223,0,1,0,1,12,19,12,0
12,AL,01901,ELBA,3899,11,18,0,3,1,7,25,74,9,0
12,AL,01902,ENTERPRISE,27547,14,938,0,12,17,75,191,73,44,3
12,AL,01903,NEW BROCKTON,1152,1,33,0,1,0,0,9,23,1,0
12,AL,01904,KINSTON,535,4,27,0,1,0,3,6,2,1,0
12,AL,01900,COFFEE,1827,28,23,0,7,2,19,8,96,27,11
12,AL,02003,MUSCLE SHOALS,13584,45,786,0,1,1,25,138,596,52,0
12,AL,02001,SHEFFIELD,9123,73,473,1,9,8,55,151,285,37,1
12,AL,02002,TUSCUMBIA,8574,45,334,1,5,3,36,8,226,28,3
12,AL,02004,CHEROKEE,125,7,26,0,0,1,6,12,1,4,0
12,AL,02005,LEIGHTON,716,19,4,0,3,0,16,18,19,3,0
11,AL,02006,LITTLEVILLE,997,0,1,0,0,0,0,3,7,0,0
03,AL,02008,NORTHWEST-SHOALS CO,0,0,1,0,0,0,0,0,1,0,0
12,AL,02000,COLBERT,2537,58,436,0,16,4,38,131,264,41,7
03,AL,01003,MCKENZIE,8,0,0,0,0,0,0,0,0,0,0
12,AL,02101,EVERGREEN,3827,27,21,1,0,4,22,48,143,19,2
03,AL,02103,REPTON,27,1,0,0,0,0,1,0,0,0,0
10,AL,02100,CONECUH,8137,24,71,0,4,0,2,22,43,6,6
07,AL,02201,GOODWATER,1371,6,13,0,1,1,4,8,3,2,0
12,AL,02200,COOSA,8923,13,21,0,1,0,12,74,121,6,4
05,AL,02301,ANDALUSIA,998,19,156,0,5,2,12,24,125,7,0
12,AL,02302,OPP,6699,22,121,0,2,3,17,31,83,7,1
10,AL,02303,FLORALA,1984,1,14,0,0,0,1,4,9,1,0
09,AL,02304,GANTT,223,0,9,0,0,0,0,1,8,0,0
10,AL,02306,LOCKHART,516,0,15,0,0,0,0,5,1,0,0
02,AL,02307,RIVER FALLS,526,0,0,0,0,0,0,0,0,0,0
06,AL,02308,22ND JUD CIRCUIT DR,0,0,3,0,0,0,0,1,2,0,0
12,AL,02300,COVINGTON,184,22,21,0,4,0,18,76,115,19,0
12,AL,02401,LUVERNE,2855,15,64,0,0,0,15,12,48,4,0
06,AL,02402,BRANTLEY,811,0,5,0,0,0,0,3,2,0,0
12,AL,02400,CRENSHAW,9831,52,143,1,3,2,46,56,73,14,2
12,AL,02501,CULLMAN,1586,26,676,0,1,6,19,85,559,32,1
12,AL,02502,HANCEVILLE,3227,9,125,0,0,2,7,37,77,11,0
12,AL,05003,ARAB,27,0,1,0,0,0,0,0,1,0,0
